소관,입출분류,회계분류,계정,장(분야),관(부문),항(프로그램),금액_원안,계정별합계_원안,회계분류별합계_원안,소관총계_원안,증감액,수정금액_확정안,회계분류별합계_확정안,소관총계_확정안
해양수산부,세출,일반회계,-,교통및물류,물류등기타,해양수산연구개발,55433000000,,,,0,55433000000,,
해양수산부,세출,일반회계,-,교통및물류,물류등기타,해양수산정보화,24943000000,,,,0,24943000000,,
해양수산부,세출,일반회계,-,교통및물류,물류등기타,해양수산행정지원,221049000000,,,,0,221049000000,,
해양수산부,세출,일반회계,-,교통및물류,물류등기타,책임운영기관운영(국립해양측위정보원),4416000000,,,,0,4416000000,,
해양수산부,세출,일반회계,-,과학기술,과학기술연구지원,출연연구 기관지원,200277000000,,,,0,200277000000,,
해양수산부,세출,농어촌구조개선특별회계,구조개선사업계정,농림수산,수산.어촌,수산식품고부가가치화,35318000000,729294000000,1257460000000,,3600000000,38918000000,1269033000000,
해양수산부,세출,농어촌구조개선특별회계,구조개선사업계정,농림수산,수산.어촌,수산물 유통 및 안전관리,52634000000,,,,285000000,52919000000,,
해양수산부,세출,농어촌구조개선특별회계,구조개선사업계정,농림수산,수산.어촌,수산자원관리및조성,197048000000,,,,4350000000,201398000000,,
해양수산부,세출,농어촌구조개선특별회계,구조개선사업계정,농림수산,수산.어촌,어촌어항활성화,12095000000,,,,0,12095000000,,
해양수산부,세출,농어촌구조개선특별회계,구조개선사업계정,농림수산,수산.어촌,어업인소득안정지원,271980000000,,,,0,271980000000,,
해양수산부,세출,농어촌구조개선특별회계,구조개선사업계정,농림수산,수산.어촌,원양협력,20008000000,,,,0,20008000000,,
해양수산부,세출,농어촌구조개선특별회계,구조개선사업계정,농림수산,수산.어촌,회계간거래(전출금),140211000000,,,,468000000,140679000000,,
해양수산부,세출,농어촌구조개선특별회계,농어촌특별세사업계정,농림수산,수산.어촌,수산자원 관리 및 조성,31226000000,528166000000,,,9000000000,40226000000,,
해양수산부,세출,농어촌구조개선특별회계,농어촌특별세사업계정,농림수산,수산.어촌,어촌어항활성화,456870000000,,,,-6468000000,450402000000,,
해양수산부,세출,농어촌구조개선특별회계,농어촌특별세사업계정,농림수산,수산.어촌,어업인소득안정지원,40070000000,,,,338000000,40408000000,,
해양수산부,세출,교통시설특별회계,항만계정,교통및물류,해운.항만,항만개발 및 관리,1227026000000,1339099000000,1339099000000,,40139000000,1267165000000,1379238000000,
해양수산부,세출,교통시설특별회계,항만계정,교통및물류,해운.항만,해양 및 해상교통관리,57253000000,,,,0,57253000000,,
해양수산부,세출,교통시설특별회계,항만계정,교통및물류,물류등기타,해양수산연구개발,54820000000,,,,0,54820000000,,
해양수산부,세출,에너지및자원사업특별회계,투자계정,농림수산,수산.어촌,수산자원 관리 및 조성,26138000000,62644000000,62644000000,,0,26138000000,62644000000,
해양수산부,세출,에너지및자원사업특별회계,투자계정,교통및물류,해운.항만,해운사업 선진화,36506000000,,,,0,36506000000,,
해양수산부,세출,국가균형발전특별회계,지역자율계정,환경,해양환경,해양환경보전,64871000000,235066000000,392070000000,,0,64871000000,397110000000,
해양수산부,세출,국가균형발전특별회계,지역자율계정,농림수산,수산.어촌,수산식품고부가가치화,18083000000,,,,-668000000,17415000000,,
해양수산부,세출,국가균형발전특별회계,지역자율계정,농림수산,수산.어촌,수산물 유통 및 안전관리,1210000000,,,,0,1210000000,,
해양수산부,세출,국가균형발전특별회계,지역자율계정,농림수산,수산.어촌,어촌어항활성화,150902000000,,,,468000000,151370000000,,
해양수산부,세출,국가균형발전특별회계,지역지원계정,농림수산,수산.어촌,수산식품고부가가치화,9870000000,41539000000,,,2240000000,12110000000,,
해양수산부,세출,국가균형발전특별회계,지역지원계정,농림수산,수산.어촌,수산물 유통 및 안전관리,5066000000,,,,0,5066000000,,
해양수산부,세출,국가균형발전특별회계,지역지원계정,농림수산,수산.어촌,수산자원 관리 및 조성,22871000000,,,,3000000000,25871000000,,
해양수산부,세출,국가균형발전특별회계,지역지원계정,교통및물류,물류등기타,해양수산행정지원,3732000000,,,,0,3732000000,,
해양수산부,세출,국가균형발전특별회계,제주특별자치도계정,환경,해양환경,해양환경보전,4226000000,115465000000,,,0,4226000000,,
해양수산부,세출,국가균형발전특별회계,제주특별자치도계정,농림수산,수산.어촌,수산식품고부가가치화,150000000,,,,0,150000000,,
해양수산부,세출,국가균형발전특별회계,제주특별자치도계정,농림수산,수산.어촌,수산물 유통 및 안전관리,233000000,,,,0,233000000,,
해양수산부,세출,국가균형발전특별회계,제주특별자치도계정,농림수산,수산.어촌,어촌어항활성화,49337000000,,,,0,49337000000,,
해양수산부,세출,국가균형발전특별회계,제주특별자치도계정,농림수산,수산.어촌,어업인소득안정지원,11000000,,,,0,11000000,,
해양수산부,세출,국가균형발전특별회계,제주특별자치도계정,교통및물류,해운.항만,항만개발 및 관리,58977000000,,,,0,58977000000,,
해양수산부,세출,국가균형발전특별회계,제주특별자치도계정,교통및물류,물류등기타,해양수산행정지원,2531000000,,,,0,2531000000,,
중소벤처기업부,세출,일반회계,-,산업.중소기업및에너지,무역및투자유치,중소기업수출촉진지원,177926000000,,4068099000000,4501013000000,0,177926000000,4182643000000,4625217000000
중소벤처기업부,세출,일반회계,-,산업.중소기업및에너지,산업.중소기업일반,중소기업행정지원,134888000000,,,,0,134888000000,,
중소벤처기업부,세출,일반회계,-,산업.중소기업및에너지,산업.중소기업일반,회계기금간거래(전출금),1564906000000,,,,-28647000000,1536259000000,,
중소벤처기업부,세출,일반회계,-,산업.중소기업및에너지,창업및벤처,창업환경조성,520628000000,,,,1665000000,522293000000,,
중소벤처기업부,세출,일반회계,-,산업.중소기업및에너지,창업및벤처,벤처기업활성화지원,4001000000,,,,-138000000,3863000000,,
중소벤처기업부,세출,일반회계,-,산업.중소기업및에너지,중소기업및소상공인육성,중소기업성장안정지원,80000000000,,,,74000000000,154000000000,,
중소벤처기업부,세출,일반회계,-,산업.중소기업및에너지,중소기업및소상공인육성,중소기업기술개발지원,1148766000000,,,,81583000000,1230349000000,,
중소벤처기업부,세출,일반회계,-,산업.중소기업및에너지,중소기업및소상공인육성,지역중소기업육성,5946000000,,,,3752000000,9698000000,,
중소벤처기업부,세출,일반회계,-,산업.중소기업및에너지,중소기업및소상공인육성,동반성장지원,27089000000,,,,523000000,27612000000,,
중소벤처기업부,세출,일반회계,-,산업.중소기업및에너지,중소기업및소상공인육성,중소기업육성지원,68225000000,,,,-620000000,67605000000,,
중소벤처기업부,세출,일반회계,-,산업.중소기업및에너지,중소기업및소상공인육성,중소기업인력지원,335724000000,,,,-17574000000,318150000000,,
중소벤처기업부,세출,국가균형발전특별회계,지역자율계정,산업.중소기업및에너지,중소기업및소상공인육성,소상공인.전통시장지원,121737000000,121737000000,432914000000,,160000000,121897000000,442574000000,
중소벤처기업부,세출,국가균형발전특별회계,지역지원계정,산업.중소기업및에너지,창업및벤처,창업환경조성,51331000000,299972000000,,,9000000000,60331000000,,
중소벤처기업부,세출,국가균형발전특별회계,지역지원계정,산업.중소기업및에너지,중소기업및소상공인육성,중소기업기술개발지원,55453000000,,,,0,55453000000,,
